Timestamp,How certain about your guess are you?,What was the outcome?
28/03/2024 09:17:57,9,Guessed right
28/03/2024 09:19:39,10,Guessed right
28/03/2024 09:19:42,10,Guessed right
28/03/2024 09:19:42,3,Guessed right
28/03/2024 09:19:42,3,Guessed right
28/03/2024 09:19:42,7,Guessed right
28/03/2024 09:19:42,7,Guessed right
28/03/2024 09:19:43,4,Guessed right
28/03/2024 09:19:45,5,Guessed wrong
28/03/2024 09:19:47,6,Guessed right
28/03/2024 09:19:58,9,Guessed right
28/03/2024 09:20:10,7,Guessed right
28/03/2024 09:20:12,3,Guessed wrong
28/03/2024 09:20:12,4,Guessed right
28/03/2024 09:20:12,6,Guessed wrong
28/03/2024 09:20:12,8,Guessed right
28/03/2024 09:20:13,9,Guessed wrong
28/03/2024 09:20:14,2,Guessed wrong
28/03/2024 09:20:14,6,Guessed wrong
28/03/2024 09:20:15,2,Guessed wrong
28/03/2024 09:20:15,7,Guessed wrong
28/03/2024 09:20:17,6,Guessed wrong
28/03/2024 09:20:24,8,Guessed wrong
28/03/2024 09:20:30,9,Guessed right
28/03/2024 09:20:30,7,Guessed right
28/03/2024 09:20:38,6,Guessed wrong
28/03/2024 09:20:43,9,Guessed right
28/03/2024 09:20:44,10,Guessed right
28/03/2024 09:20:44,8,Guessed right
28/03/2024 09:20:44,9,Guessed right
28/03/2024 09:20:44,10,Guessed right
28/03/2024 09:20:44,10,Guessed right
28/03/2024 09:20:45,10,Guessed right
28/03/2024 09:20:45,7,Guessed right
28/03/2024 09:20:45,10,Guessed right
28/03/2024 09:20:45,10,Guessed right
28/03/2024 09:20:46,10,Guessed right
28/03/2024 09:20:48,10,Guessed right
28/03/2024 09:20:49,10,Guessed right
28/03/2024 09:20:50,10,Guessed right
28/03/2024 09:20:50,8,Guessed right
28/03/2024 09:21:06,9,Guessed right
28/03/2024 09:21:06,10,Guessed right
28/03/2024 09:21:07,10,Guessed right
28/03/2024 09:21:08,2,Guessed right
28/03/2024 09:21:09,10,Guessed right
28/03/2024 09:21:09,7,Guessed wrong
28/03/2024 09:21:09,5,Guessed wrong
28/03/2024 09:21:10,6,Guessed wrong
28/03/2024 09:21:11,7,Guessed right
28/03/2024 09:21:11,6,Guessed wrong
28/03/2024 09:21:12,7,Guessed wrong
28/03/2024 09:21:13,4,Guessed wrong
28/03/2024 09:21:16,5,Guessed wrong
28/03/2024 09:22:32,5,Guessed right
28/03/2024 09:22:34,9,Guessed wrong
28/03/2024 09:22:34,5,Guessed wrong
28/03/2024 09:22:34,6,Guessed wrong
28/03/2024 09:22:34,5,Guessed wrong
28/03/2024 09:22:35,4,Guessed wrong
28/03/2024 09:22:35,7,Guessed wrong
28/03/2024 09:22:35,5,Guessed wrong
28/03/2024 09:22:35,7,Guessed wrong
28/03/2024 09:22:35,5,Guessed wrong
28/03/2024 09:22:44,7,Guessed right
28/03/2024 09:22:45,7,Guessed wrong
28/03/2024 09:22:45,0,Guessed wrong
28/03/2024 09:22:53,8,Guessed right
28/03/2024 09:22:53,10,Guessed right
28/03/2024 09:22:55,10,Guessed right
28/03/2024 09:22:58,10,Guessed right
28/03/2024 09:22:58,10,Guessed right
28/03/2024 09:22:58,7,Guessed right
28/03/2024 09:23:00,10,Guessed wrong
28/03/2024 09:23:00,5,Guessed wrong
28/03/2024 09:23:01,9,Guessed wrong
28/03/2024 09:23:01,8,Guessed wrong
28/03/2024 09:23:03,7,Guessed wrong
28/03/2024 09:23:04,4,Guessed wrong
28/03/2024 09:23:06,10,Guessed wrong
28/03/2024 09:23:09,10,Guessed wrong
28/03/2024 09:23:12,9,Guessed wrong
28/03/2024 09:23:24,6,Guessed right
28/03/2024 09:23:26,8,Guessed right
28/03/2024 09:23:27,7,Guessed wrong
28/03/2024 09:23:28,9,Guessed wrong
28/03/2024 09:23:28,10,Guessed right
28/03/2024 09:23:28,8,Guessed wrong
28/03/2024 09:23:28,5,Guessed right
